,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,,Southampton,yes,False
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
829,1,1,female,62.0,0,0,80.0,,First,woman,False,B,,yes,True
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True
